,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
389,84439,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84439,0.13004,0.005132,0.021052,0.01592,20260.1,2900.21,2900.21,0.0169336,0.020681,0.0208769
390,84572,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84572,2.18586,3.05886,107.46,11.5808,12193.8,20354.7,20354.7,0.0248338,0.0123175,0.0095261
391,84573,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84573,0.1985,0.053199,0.874346,0.090036,12221.4,20323.1,20323.1,0.00972618,0.0101526,0.0113411
392,84574,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84574,0.023401,0.041221,0.761536,0.038947,12193.4,20258.7,20258.7,0.0101439,0.01222,0.0171346
393,84720,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84720,4.13573,1.42484,62.9326,7.00991,31351.6,9702.86,9702.86,0.014369,0.0172907,0.0173357
394,84721,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84721,1.19058,1.68318,44.5315,3.73311,31055.5,9817.23,9817.23,0.0233797,0.0231572,0.0252298
395,84722,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84722,0.0300939,0.019329,2.36595,0.170853,31526.6,9525.26,9525.26,0.00647101,0.00583928,0.0088716
396,84723,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84723,0.0290213,0.007124,1.01854,0.096196,31388.7,9591.62,9591.62,0.00481652,0.00501983,0.00755387
397,84725,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84725,0.449557,0.019398,0.315464,0.092958,31354.6,9708.95,9708.95,0.00851395,0.00953401,0.00741884
398,84726,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84726,0.256031,0.03693,0.058962,0.021786,31350.5,9701.72,9701.72,0.0224448,0.0299263,0.0291916
399,84727,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84727,0.0903508,0.027621,0.103966,0.019298,31344.7,9699.48,9699.48,0.0188971,0.0238833,0.0223614
400,92825,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92825,2.09986,1.25207,53.0798,5.21723,13365.4,30874.2,30874.2,0.0173742,0.0153442,0.0204305
401,92826,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92826,0.223981,0.239114,17.6451,1.53798,13556.1,30932.9,30932.9,0.0169075,0.0165293,0.0171765
402,92827,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92827,0.00158166,0.001667,0.880138,0.018825,13555.2,31035.5,31035.5,0.00292907,0.00380118,0.00647791
403,92888,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92888,4.87069,2.62498,67.8925,5.43663,23183.8,14690.1,14690.1,0.0185776,0.0222126,0.0238378
404,92889,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92889,0.000318704,0.000107,0.421323,0.006884,23141.0,14842.4,14842.4,8.91e-05,0.00013218,0.00015297
405,92936,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92936,2.38373,2.32564,64.8277,5.77728,21688.7,5129.23,5129.23,0.0253565,0.0239755,0.031067
406,92991,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92991,0.501252,0.793527,51.3274,5.55644,674.85,22314.0,22314.0,0.0196852,0.0280382,0.0264984
407,92992,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92992,0.195961,0.070383,8.64981,0.97306,965.499,22416.3,22416.3,0.00923359,0.00720487,0.0149045
408,92993,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92993,0.93008,0.277243,3.98587,0.440394,643.66,22336.6,22336.6,0.0152446,0.012024,0.0136633
409,92995,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/92995,0.0146576,0.006671,0.758221,0.035015,689.795,22271.7,22271.7,0.00503978,0.0051752,0.0068071
410,93077,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/93077,0.027311,2.8459,79.8648,1.50637,18111.5,30629.0,30629.0,0.023717,0.00614227,0.00654604
