,id,mass,sfr,url
7252,814911,10.495209925332366,0.0174836,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814911/
7253,814974,10.485381038748805,0.0236845,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814974/
7254,815012,10.457240750784678,0.013745,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815012/
7255,815040,10.431634374814825,0.0900658,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815040/
7256,815050,10.521750191800374,0.0100478,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815050/
7257,815064,10.500339074277472,0.0128622,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815064/
7258,815091,10.397485858553424,0.011717,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815091/
7259,815201,10.494087189025006,0.013177,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815201/
7260,815229,10.48091290574581,0.0281307,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815229/
7261,815240,10.490728385114755,0.0305752,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815240/
7262,815253,10.495801937995624,0.0101762,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815253/
7263,815333,10.440471227538223,0.0176658,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815333/
7264,815354,10.486181280600627,0.0113724,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815354/
7265,815374,10.484379709210012,0.0404855,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815374/
7266,815392,10.430170117577559,0.0172082,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815392/
7267,815404,10.459267362350829,0.0678223,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815404/
7268,815448,10.44478629319668,0.0175255,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815448/
7269,815464,10.476704326853595,0.0131708,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815464/
7270,815550,10.359147343575877,0.0130422,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815550/
7271,815616,10.513077160349962,0.0151472,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815616/
7272,815622,10.405704664545055,0.0165024,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815622/
7273,815651,10.460021575836516,0.016997,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815651/
7274,815661,10.50214235337048,0.0101019,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815661/
7275,815702,10.39758339975148,0.0204676,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815702/
7276,815733,10.4922294401335,0.0214381,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815733/
7277,815758,10.470634065690966,0.0162438,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815758/
7278,815777,10.420863580055567,0.0651747,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815777/
7279,815818,10.425814836281337,0.0255267,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815818/
7280,815918,10.472664049175362,0.0278823,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815918/
7281,815927,10.466611096730642,0.0231677,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815927/
7282,815947,10.466179567722513,0.0107085,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815947/
7283,815994,10.48287231823909,0.0103835,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/815994/
7284,816007,10.426348429661662,0.0233271,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816007/
7285,816026,10.457142304287753,0.019173,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816026/
7286,816050,10.478557123643348,0.010681,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816050/
7287,816154,10.427389690857899,0.0152317,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816154/
7288,816205,10.46150614748932,0.0473509,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816205/
7289,816226,10.47666154238129,0.0449113,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/816226/
